City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,kununurra,-15.7667,128.7333,13.99,94,70,1.54,AU,1720306616
244,midar,34.9403,-3.5331,21.65,41,0,1.93,MA,1720306617
245,kingston,17.997,-76.7936,26.76,95,100,3.11,JM,1720306242
246,yaren,-0.5472,166.916,27.78,77,100,4.37,NR,1720306619
247,newman,37.3138,-121.0208,42.13,6,0,0.3,US,1720306620
248,shubarshi,48.5872,57.1869,23.32,61,5,3.27,KZ,1720306621
249,autun,46.95,4.3,10.44,98,68,0.91,FR,1720306622
250,chonchi,-42.6128,-73.8092,7.29,95,94,0.67,CL,1720306038
251,peruibe,-24.32,-46.9983,17.71,95,100,2.69,BR,1720306624
252,i-n-salah,27.1935,2.4607,37.85,10,3,4.77,DZ,1720306198
253,pitea,65.3172,21.4794,13.05,94,61,2.84,SE,1720306627
254,vadso,70.0744,29.7487,13.09,76,75,2.57,NO,1720306628
255,rafsanjan,30.4067,55.9939,29.98,15,18,2.09,IR,1720306630
256,mokolo,10.7398,13.8019,23.4,79,23,1.49,CM,1720306631
257,saipan,15.1355,145.701,29.39,79,40,5.66,MP,1720306633
258,cooma,-36.2333,149.1333,4.91,78,4,0.76,AU,1720306634
259,fort st. john,56.2499,-120.8529,23.94,35,0,1.03,CA,1720306374
260,syktyvkar,61.6764,50.8099,17.85,100,40,2.0,RU,1720306479
261,karema,-6.8205,30.4389,21.6,46,20,1.36,TZ,1720306638
262,amungan,15.3652,119.9582,27.88,73,99,1.05,PH,1720306639
263,martapura,-3.4167,114.85,25.05,94,100,1.54,ID,1720306640
264,island harbour,50.724,-1.2758,14.56,76,7,1.79,GB,1720306641
265,new norfolk,-42.7826,147.0587,-0.28,87,38,0.8,AU,1720306091
266,inongo,-1.95,18.2667,22.19,66,99,2.15,CD,1720306643
267,karratha,-20.7377,116.8463,15.02,35,15,3.66,AU,1720306201
268,yuzhno-kurilsk,44.0306,145.8556,13.61,100,100,3.2,RU,1720306645
269,tamanrasset,22.785,5.5228,27.95,11,0,2.06,DZ,1720306646
270,sinabang,2.4803,96.3801,26.16,86,100,2.66,ID,1720306647
271,tharyarwady,17.65,95.8,25.53,90,100,2.08,MM,1720306649
272,santo antonio do ica,-3.1022,-67.9397,24.16,93,25,0.94,BR,1720306650
273,tabas,33.5959,56.9244,33.12,15,0,2.06,IR,1720306652
274,yinchuan,38.4681,106.2731,20.56,57,100,8.23,CN,1720306653
275,saint-louis,16.3333,-15.0,31.8,57,79,8.21,SN,1720306654
276,piti village,13.4626,144.6933,30.73,80,40,7.2,GU,1720306655
277,sao vicente,-23.9631,-46.3919,21.26,93,92,4.73,BR,1720306656
278,atafu village,-8.5421,-172.5159,28.19,73,70,1.65,TK,1720306657
279,salahonda,2.1019,-78.7217,27.04,80,15,4.18,CO,1720306658
280,malvan,16.0667,73.4667,27.61,80,100,7.34,IN,1720306660
281,alofi,-19.0595,-169.9187,24.94,83,75,6.69,NU,1720306661
282,chibougamau,49.9168,-74.3659,23.79,38,20,2.57,CA,1720306560
283,mezhdurechenskiy,59.6,65.9333,13.28,77,26,2.36,RU,1720306663
284,mount gambier,-37.8333,140.7667,4.99,80,0,3.16,AU,1720306664
285,port alfred,-33.5906,26.891,14.77,61,76,5.72,ZA,1720306665
286,sarmiento,-45.5882,-69.07,0.87,83,67,3.66,AR,1720306666
287,saint-francois,46.4154,3.9054,13.69,95,0,1.03,FR,1720306533
288,xai-xai,-25.0519,33.6442,15.3,65,0,2.21,MZ,1720306668
289,alice springs,-23.7,133.8833,11.75,100,100,0.0,AU,1720306121
290,shimoda,34.6667,138.95,31.17,74,100,4.94,JP,1720306670
291,kuanda,56.3161,116.0806,21.24,48,20,1.15,RU,1720306673
292,puerto aysen,-45.4,-72.7,3.39,99,100,0.51,CL,1720306674
293,santiago de cao,-7.9589,-79.2392,19.07,82,20,6.17,PE,1720306104
294,holualoa,19.6228,-155.9522,26.91,80,75,4.63,US,1720306676
295,meulaboh,4.1363,96.1285,24.24,93,95,2.37,ID,1720306677
296,sao felix do xingu,-6.6447,-51.995,24.95,39,7,0.51,BR,1720306448
297,villa regina,-39.1,-67.0667,3.32,25,19,0.72,AR,1720306679
298,garoua,9.3,13.4,24.31,82,64,1.06,CM,1720306680
299,lata,40.1629,-8.3327,14.49,91,4,1.59,PT,1720306681
300,bengkulu,-3.8004,102.2655,24.69,85,100,2.25,ID,1720306144
301,huilong,31.8111,121.655,28.38,85,83,2.95,CN,1720306683
302,pingdingshan,33.7385,113.3012,28.64,77,99,4.13,CN,1720306684
303,kralendijk,12.15,-68.2667,29.99,70,75,8.23,BQ,1720306685
304,la villa del rosario,10.3258,-72.3134,27.09,80,95,1.94,VE,1720306688
305,port augusta,-32.5,137.7667,13.02,84,100,4.51,AU,1720306689
306,yangambi,0.8102,24.4336,22.26,89,89,1.28,CD,1720306690
307,san andres,12.5847,-81.7006,28.01,83,20,2.06,CO,1720306691
308,dryden,49.7833,-92.7503,27.16,41,0,3.6,CA,1720306692
309,boa vista,2.8197,-60.6733,28.99,70,40,2.57,BR,1720306430
310,raduzhny,62.0961,77.475,11.8,73,18,3.65,RU,1720306694
311,nemuro,43.3236,145.575,14.52,100,100,5.64,JP,1720306695
312,guerrero negro,27.9769,-114.0611,26.14,52,6,6.39,MX,1720306696
313,dawesville,30.9224,-84.0091,33.23,66,75,2.68,US,1720306698
314,kapuskasing,49.4169,-82.4331,26.05,41,40,1.03,CA,1720306700
315,koumra,8.9126,17.5539,23.0,82,93,0.45,TD,1720306701
316,hammerfest,70.6634,23.6821,11.25,87,75,3.09,NO,1720306702
317,sangmelima,2.9333,11.9833,19.91,99,100,1.01,CM,1720306703
318,mar del plata,-38.0023,-57.5575,7.27,77,20,2.06,AR,1720306445
319,mareeba,-17.0,145.4333,20.24,87,55,4.28,AU,1720306118
320,mezhdurechensk,53.6942,88.0603,17.76,98,99,1.09,RU,1720306706
321,otjimbingwe,-22.35,16.1333,14.0,40,0,0.73,NA,1720306707
322,mugia,43.1041,-9.2179,13.98,73,7,4.58,ES,1720306708
323,mana,5.6592,-53.7767,25.65,88,99,4.22,GF,1720306709
324,sitangkai,4.6628,119.3928,28.04,77,60,2.63,PH,1720306710
325,gaspe,48.8334,-64.4819,17.12,100,100,1.54,CA,1720306711
326,jacmel,18.2342,-72.5347,32.91,82,100,3.37,HT,1720306712
327,trat,12.5,102.5,27.73,95,71,0.48,TH,1720306715
328,iskateley,67.6803,53.1512,19.49,89,100,5.27,RU,1720306716
329,san rafael,-34.6177,-68.3301,4.88,34,0,4.06,AR,1720306717
330,bopolu,7.0667,-10.4875,22.17,97,100,1.31,LR,1720306718
331,aasiaat,68.7098,-52.8699,3.26,93,100,2.71,GL,1720306719
332,danilov,58.1908,40.1717,11.6,76,7,2.36,RU,1720306721
333,askino,56.0901,56.5783,17.02,88,94,2.16,RU,1720306723
334,okhotsk,59.3833,143.3,11.65,78,99,0.71,RU,1720306724
335,barranca,-10.75,-77.7667,18.14,83,78,4.27,PE,1720306183
336,san antonio de pale,-1.4014,5.6325,23.14,89,76,4.92,GQ,1720306145
337,springbok,-29.6643,17.8865,6.84,90,73,6.87,ZA,1720306728
338,sept-iles,50.2001,-66.3821,19.29,71,75,3.09,CA,1720306729
339,armacao de buzios,-22.7469,-41.8817,23.03,88,7,4.06,BR,1720306196
340,arraial do cabo,-22.9661,-42.0278,21.65,83,0,4.64,BR,1720306732
341,sandnessjoen,66.0217,12.6316,9.29,86,80,1.89,NO,1720306733
342,vanadzor,40.8046,44.4939,15.79,86,95,1.28,AM,1720306734
343,laguna,38.421,-121.4238,45.62,23,0,0.45,US,1720306735
344,san isidro,-12.1167,-77.05,21.68,71,65,5.0,PE,1720306736
345,wailua homesteads,22.0669,-159.378,27.44,69,75,5.14,US,1720306737
346,beni,0.5,29.4667,17.66,87,100,0.54,CD,1720306738
347,whitehorse,60.7161,-135.0538,20.43,40,75,7.2,CA,1720306739
348,fiambala,-27.6871,-67.6149,8.43,47,42,4.53,AR,1720306740
349,al bawiti,28.3492,28.8659,26.16,53,1,4.33,EG,1720306741
350,reynosa,26.0833,-98.2833,36.79,46,75,4.63,MX,1720306680
351,nguruka,-5.1092,31.0419,19.11,51,63,1.38,TZ,1720306744
352,plastun,44.7561,136.2939,16.09,100,100,0.94,RU,1720306745
353,uman,48.7484,30.2218,15.56,60,43,3.49,UA,1720306746
354,faya-largeau,17.9257,19.1043,33.44,15,4,3.02,TD,1720306747
355,fort bragg,35.139,-79.006,31.91,69,100,4.63,US,1720306151
356,figueres,42.2664,2.9616,20.41,82,100,4.47,ES,1720306749
357,gobabis,-22.45,18.9667,11.43,20,0,5.77,NA,1720306750
358,oamaru,-45.0784,170.9801,12.99,56,73,10.9,NZ,1720306751
359,graneros,-34.0667,-70.7333,6.1,65,0,4.63,CL,1720306752
360,brookings,44.3114,-96.7984,25.03,63,51,5.75,US,1720306508
361,aldinga beach,-35.2793,138.4604,13.15,73,76,6.9,AU,1720306754
362,arauca,7.0847,-70.7591,28.0,83,75,2.06,CO,1720306756
363,tofol,5.3248,163.0078,28.76,75,81,5.94,FM,1720306757
